"Gene","n_outliers","n_normals","outlier_mean_rank","normal_mean_rank","outlier_mean_magnitude","normal_mean_magnitude","standard_effect_size","magnitude_effect_size","phylo_diversity_score","phylo_weighted_effect","phylo_weighted_magnitude","p_value","species_in_analysis","adj_p_value"
"IFNA16",2,96,875,421.666666666667,2.25,3.82638888888889,453.333333333333,-1.57638888888889,0.974399875692089,441.72794364708,-1.53603313737572,0.558722516918988,98,0.78618305692478
"MGAM",2,51,872.5,471.78431372549,0.75,2.19607843137255,400.71568627451,-1.44607843137255,1.09036044746702,436.924534993327,-1.57674672550378,0.598116408972726,53,0.814949534990804
"PRB3",3,116,939,536.422413793103,1.16666666666667,2.57183908045977,402.577586206897,-1.4051724137931,0.980871835681197,394.877015986864,-1.37829404496582,0.294090270745677,119,0.570495825878585
"OR10A6",3,151,719.666666666667,365.350993377483,1.66666666666667,3.88852097130243,354.315673289183,-2.22185430463576,1.07536189686,381.017574515485,-2.38929745957967,0.437971665619058,154,0.689825173154068
"ADAM28",2,6,923.5,477.5,0.75,0.916666666666667,446,-0.166666666666667,0.848691952311094,378.516610730748,-0.141448658718516,0.531506382430718,8,0.772339431057179
"GRK3",2,7,1035.5,641.714285714286,0.5,0.869047619047619,393.785714285714,-0.369047619047619,0.890798863063111,350.783866576209,-0.328747199463767,0.206525548496499,9,0.478414236011838
"PRR4",4,169,734,377.769230769231,1.875,3.73076923076923,356.230769230769,-1.85576923076923,0.984013535511825,350.535898688866,-1.82610204186329,0.294487907562806,173,0.570843399452235
"H2AC14",2,72,1193,678.875,0.75,1.80787037037037,514.125,-1.05787037037037,0.670549289306133,344.746153364515,-0.709354225029867,0.260178631976618,74,0.545623407186921
"ACAA1",2,50,923.5,621.7,0.75,1.06666666666667,301.8,-0.316666666666667,1.13131750523377,341.431623079551,-0.358250543324027,0.652658367577241,52,0.850587325226396
"OR51B4",2,34,941.5,630.058823529412,0.75,1.22058823529412,311.441176470588,-0.470588235294118,1.06915823180125,332.979897545395,-0.50313328555353,0.632841371744054,36,0.836849445529966
"DYDC1",2,5,1068,640.8,0.5,1.2,427.2,-0.7,0.773635517608408,330.497093122312,-0.541544862325886,0.424936374165072,7,0.681619856165337
"H4C12",2,101,1001.5,587.465346534653,1.25,1.98019801980198,414.034653465347,-0.73019801980198,0.798076838865047,330.431467418209,-0.582754127389082,0.50382649442888,103,0.75144752785917
"TFCP2L1",2,12,1317,810.5,0.5,1.5,506.5,-1,0.649641366942633,329.043352356444,-0.649641366942633,0.0278727149706096,14,0.117092289739876
"H2AC8",2,107,1001.5,584.523364485981,1.25,2.25856697819315,416.976635514019,-1.00856697819315,0.777513343902773,324.204898207833,-0.784174283764869,0.501478491533382,109,0.749342469356467
"H2BC14",2,70,1193,719.514285714286,0.75,1.58095238095238,473.485714285714,-0.830952380952381,0.683798012785604,323.768590510944,-0.568203586814704,0.277075658254148,72,0.565327733708045
"PRAMEF2",3,165,690.666666666667,334.8,2.33333333333333,5.8560606060606,355.866666666667,-3.52272727272727,0.903070211425611,321.372585905994,-3.18127006297658,0.432652165024796,168,0.688082840663294
"CXCL6",2,84,1193,732.107142857143,0.75,1.6984126984127,460.892857142857,-0.948412698412698,0.663040136558082,305.590462938645,-0.628835685068975,0.288612528866743,86,0.568160010514894
"PRSS1",3,135,673,425.296296296296,1,2.48518518518518,247.703703703704,-1.48518518518518,1.22034391038182,302.283706393838,-1.81243669653004,0.251252880604327,138,0.534183383197813
