"","X","Scientific_name","maximum_longevity_y","adult_body_mass_g","order","common_name","MLres"
"170",170,"Macaca_nemestrina",37.6,7912.5,"Primates","Pigtail macaque",0.251895519006554
"171",171,"Macaca_nigra",34,7965,"Primates","Celebes crested macaque",0.207741419075798
"172",172,"Macaca_silenus",40,7875,"Primates","Liontail macaque",0.279087457587974
"173",173,"Macroglossus_sobrinus",6,21.8,"Chiroptera","Greater Long-nosed Fruit Bat",-0.148360359037405
"174",174,"Macropus_fuliginosus",23.2,28250,"Diprotodontia","Western gray kangaroo",-0.043474188518854
"175",175,"Macropus_giganteus",25,49500,"Diprotodontia","Eastern gray kangaroo",-0.0487783812976547
"176",176,"Macrotus_californicus",17,11.6,"Chiroptera","California leaf-nosed bat",0.34640738475559
"177",177,"Madoqua_kirkii",17.3,5000,"Artiodactyla","Kirk's dik-dik",-0.0543477247736311
"178",178,"Mandrillus_leucophaeus",39,18250,"Primates","Drill",0.21151476000015
"179",179,"Mandrillus_sphinx",40,23000,"Primates","Mandrill",0.206937962689067
"180",180,"Manis_javanica",6.075,4540.855,"Pholidota","Sunda Pangolin",-0.502363481737332
"181",181,"Manis_pentadactyla",15.225,2350,"Pholidota","Chinese pangolin",-0.0590113300299663
"182",182,"Marmota_flaviventris",21.2,3500,"Rodentia","Yellow-bellied marmot",0.057952009037492
"183",183,"Marmota_monax",14,4000,"Rodentia","Woodchuck",-0.13124463246753
"184",184,"Marmota_vancouverensis",12.1,4750,"Rodentia","Vancouver marmot",-0.206155591639805
"185",185,"Martes_zibellina",18.4,1066.7,"Carnivora","Sable",0.0764185359488712
"186",186,"Mastomys_coucha",2.908333333,53.81,"Rodentia","Southern African Mastomys",-0.523690872078532
"187",187,"Megaderma_lyra",14,38.6,"Chiroptera","Greater false vampire bat",0.181155874680553
"188",188,"Megaderma_spasma",14,38.6,"Chiroptera","Lesser False Vampire Bat",0.181155874680553
"189",189,"Mellivora_capensis",31.3,10000,"Carnivora","Honey badger",0.156490525643825
